,Negative,Neutral,Positive
277,0,0.615,0.385
278,0.252,0.748,0
279,0.096,0.904,0
280,0.473,0.527,0
281,0.219,0.781,0
282,0.102,0.898,0
283,0,0.834,0.166
284,0,1,0
285,0,0.601,0.399
286,0.147,0.723,0.131
287,0,0.779,0.221
288,0,0.633,0.367
289,0,1,0
290,0.25,0.75,0
291,0,1,0
292,0.295,0.705,0
293,0,1,0
294,0,0.519,0.481
295,0,0.729,0.271
296,0,1,0
297,0,1,0
298,0,1,0
299,0.258,0.583,0.158
300,0,0.273,0.727
301,0.058,0.942,0
302,0,0.706,0.294
303,0.128,0.872,0
304,0,0.679,0.321
305,0,1,0
306,0,1,0
307,0,1,0
308,0,1,0
309,0,1,0
310,0,0.715,0.285
311,0,1,0
312,0,1,0
313,0,1,0
314,0,0.725,0.275
315,0,0.371,0.629
316,0,0.647,0.353
317,0,0.494,0.506
318,0,0.829,0.171
319,0,0.742,0.258
320,0,0.814,0.186
321,0,0.574,0.426
322,0,0.22,0.78
323,0,0.615,0.385
324,0,0.473,0.527
325,0.129,0.644,0.228
326,0.355,0.645,0
327,0,0.703,0.297
328,0,0.196,0.804
329,0,0.612,0.388
330,0,1,0
331,0,1,0
332,0,1,0
333,0,0.928,0.072
334,0,0.58,0.42
335,0,0.655,0.345
336,0,0.707,0.293
337,0.118,0.649,0.233
338,0.062,0.937,0
339,0,1,0
340,0,0.8,0.2
341,0.073,0.794,0.133
342,0,1,0
343,0.473,0.215,0.312
344,0,0.461,0.539
345,0,0.552,0.448
346,0,0.752,0.248
347,0,0.259,0.741
348,0,0.506,0.494
349,0.524,0.476,0
350,0,0.671,0.329
351,0,0.417,0.583
352,0,0.364,0.636
353,0,1,0
354,0,1,0
355,0.375,0.625,0
356,0,0.508,0.492
357,0,0.876,0.124
358,0,1,0
359,0,0.432,0.568
360,0,0.208,0.792
361,0,0.486,0.514
362,0,0.588,0.412
363,0,0.588,0.412
364,0,0.408,0.592
365,0,0.208,0.792
366,0.193,0.42,0.387
367,0,1,0
368,0.089,0.738,0.172
369,0,0.839,0.161
370,0,0.819,0.181
371,0,0.644,0.356
372,0,0.728,0.272
373,0,1,0
374,0,0.803,0.197
375,0,0.493,0.507
376,0,1,0
377,0,0.688,0.312
378,0,0.865,0.135
379,0,0.907,0.093
380,0,1,0
381,0,0.448,0.552
382,0,1,0
383,0.315,0.685,0
384,0,1,0
385,0,1,0
386,0,0.528,0.472
387,0,0.575,0.425
388,0,1,0
389,0,0.417,0.583
390,0,0.588,0.412
391,0,0.213,0.787
392,0.152,0.703,0.145
393,0.302,0.698,0
394,0,0.732,0.268
395,0.436,0.564,0
396,0.166,0.633,0.201
397,0.115,0.777,0.108
398,0.195,0.774,0.031
399,0,0.33,0.67
400,0,0.71,0.29
401,0,1,0
402,0,0.584,0.416
403,0,0.802,0.198
404,0,0.323,0.677
405,0,1,0
406,0,1,0
407,0,0.256,0.744
408,0,0.256,0.744
409,0,0.397,0.603
410,0,0.885,0.115
411,0,1,0
412,0,1,0
413,0,1,0
414,0,1,0
415,0,0.615,0.385
416,0.115,0.885,0
417,0,1,0
418,0,1,0
419,0,0.848,0.152
420,0,0.715,0.285
421,0,0.792,0.208
422,0.119,0.67,0.211
423,0.167,0.833,0
424,0.145,0.855,0
425,0.37,0.63,0
426,0.155,0.845,0
427,0.091,0.788,0.12
428,0.232,0.526,0.242
429,0,1,0
430,0,1,0
431,0,1,0
432,0.154,0.647,0.199
433,0,0.256,0.744
434,0.263,0.737,0
435,0,0.714,0.286
436,0,0.423,0.577
437,0,1,0
438,0,0.692,0.308
439,0.15,0.85,0
440,0,1,0
441,0,1,0
442,0.15,0.534,0.316
443,0,1,0
444,0,1,0
445,0.184,0.816,0
446,0,0.563,0.437
447,0.157,0.843,0
448,0.187,0.813,0
449,0.376,0.624,0
450,0.133,0.649,0.218
451,0.076,0.845,0.079
452,0,0.763,0.237
453,0,0.448,0.552
454,0,0.196,0.804
455,0,0.41,0.59
456,0,0.402,0.598
457,0.089,0.592,0.32
458,0,0.64,0.36
459,0,0,1
460,0,1,0
461,0,1,0
462,0.503,0.497,0
463,0,1,0
464,0.182,0.688,0.13
465,0.276,0.724,0
466,0,0.455,0.545
467,0,0.687,0.313
468,0,1,0
469,0,1,0
470,0,0.358,0.642
471,0,1,0
